date,day,meal_type,expected_students,actual_attendance
2024-01-01,Monday,breakfast,8603,8198
2024-01-01,Monday,lunch,9058,8560
2024-01-01,Monday,snacks,6199,5960
2024-01-01,Monday,dinner,8898,8239
2024-01-02,Tuesday,breakfast,7670,6907
2024-01-02,Tuesday,lunch,8865,8328
2024-01-02,Tuesday,snacks,6157,5473
2024-01-02,Tuesday,dinner,9056,8153
2024-01-03,Wednesday,breakfast,7492,6856
2024-01-03,Wednesday,lunch,9370,8422
2024-01-03,Wednesday,snacks,5866,5524
2024-01-03,Wednesday,dinner,9270,8219
2024-01-04,Thursday,breakfast,8033,7199
2024-01-04,Thursday,lunch,8837,8452
2024-01-04,Thursday,snacks,6447,5966
2024-01-04,Thursday,dinner,8944,8150
2024-01-05,Friday,breakfast,7739,7308
2024-01-05,Friday,lunch,8550,7803
2024-01-05,Friday,snacks,5641,5307
2024-01-05,Friday,dinner,9743,8651
2024-01-06,Saturday,breakfast,4445,3936
2024-01-06,Saturday,lunch,4770,4371
2024-01-06,Saturday,snacks,3412,3088
2024-01-06,Saturday,dinner,5223,4895
2024-01-07,Sunday,breakfast,4570,4284
2024-01-07,Sunday,lunch,4987,4701
2024-01-07,Sunday,snacks,3362,3100
2024-01-07,Sunday,dinner,5512,5184
2024-01-08,Monday,breakfast,7721,7379
2024-01-08,Monday,lunch,8730,8345
2024-01-08,Monday,snacks,6411,6174
2024-01-08,Monday,dinner,8762,7917
2024-01-09,Tuesday,breakfast,8553,7898
2024-01-09,Tuesday,lunch,9208,8646
2024-01-09,Tuesday,snacks,5865,5569
2024-01-09,Tuesday,dinner,9646,8617
2024-01-10,Wednesday,breakfast,7953,7419
2024-01-10,Wednesday,lunch,9292,8897
2024-01-10,Wednesday,snacks,5834,5400
2024-01-10,Wednesday,dinner,8925,8244
2024-01-11,Thursday,breakfast,8537,7988
2024-01-11,Thursday,lunch,9514,8499
2024-01-11,Thursday,snacks,6204,5696
2024-01-11,Thursday,dinner,8992,8070
2024-01-12,Friday,breakfast,7632,6799
2024-01-12,Friday,lunch,9662,8649
2024-01-12,Friday,snacks,5783,5171
2024-01-12,Friday,dinner,10249,9638
2024-01-13,Saturday,breakfast,4711,4202
2024-01-13,Saturday,lunch,5050,4529
2024-01-13,Saturday,snacks,3310,3072
2024-01-13,Saturday,dinner,5443,5069
2024-01-14,Sunday,breakfast,4094,3781
2024-01-14,Sunday,lunch,5089,4931
2024-01-14,Sunday,snacks,3121,2759
2024-01-14,Sunday,dinner,5488,4996
2024-01-15,Monday,breakfast,7814,7290
2024-01-15,Monday,lunch,9494,9117
2024-01-15,Monday,snacks,5579,5147
2024-01-15,Monday,dinner,9099,8801
2024-01-16,Tuesday,breakfast,7788,7257
2024-01-16,Tuesday,lunch,9422,8813
2024-01-16,Tuesday,snacks,6135,5666
2024-01-16,Tuesday,dinner,8810,8513
2024-01-17,Wednesday,breakfast,7843,7543
2024-01-17,Wednesday,lunch,8644,8091
2024-01-17,Wednesday,snacks,6207,5716
2024-01-17,Wednesday,dinner,9167,8723
2024-01-18,Thursday,breakfast,8219,7827
2024-01-18,Thursday,lunch,9390,8867
2024-01-18,Thursday,snacks,6390,5778
2024-01-18,Thursday,dinner,9917,8762
2024-01-19,Friday,breakfast,7741,7329
2024-01-19,Friday,lunch,9138,8485
2024-01-19,Friday,snacks,5624,5198
2024-01-19,Friday,dinner,9284,8669
2024-01-20,Saturday,breakfast,4059,3901
2024-01-20,Saturday,lunch,4787,4228
2024-01-20,Saturday,snacks,3365,3012
2024-01-20,Saturday,dinner,4987,4616
2024-01-21,Sunday,breakfast,4261,3769
2024-01-21,Sunday,lunch,5207,4729
2024-01-21,Sunday,snacks,3089,2945
2024-01-21,Sunday,dinner,4834,4505
2024-01-22,Monday,breakfast,8085,7193
2024-01-22,Monday,lunch,8684,7818
2024-01-22,Monday,snacks,5573,5229
2024-01-22,Monday,dinner,9722,8941
2024-01-23,Tuesday,breakfast,8155,7706
2024-01-23,Tuesday,lunch,8686,8123
2024-01-23,Tuesday,snacks,5854,5564
2024-01-23,Tuesday,dinner,9873,8734
2024-01-24,Wednesday,breakfast,8219,7959
2024-01-24,Wednesday,lunch,8705,7811
2024-01-24,Wednesday,snacks,5711,5222
2024-01-24,Wednesday,dinner,9253,8775
2024-01-25,Thursday,breakfast,7900,7439
2024-01-25,Thursday,lunch,9452,8835
2024-01-25,Thursday,snacks,6316,5732
2024-01-25,Thursday,dinner,9992,9506
2024-01-26,Friday,breakfast,8506,7864
2024-01-26,Friday,lunch,8757,8465
2024-01-26,Friday,snacks,6402,5717
2024-01-26,Friday,dinner,9140,8236
2024-01-27,Saturday,breakfast,4288,4125
2024-01-27,Saturday,lunch,5099,4625
2024-01-27,Saturday,snacks,3421,3029
2024-01-27,Saturday,dinner,4863,4576
2024-01-28,Sunday,breakfast,4169,3825
2024-01-28,Sunday,lunch,5236,4655
2024-01-28,Sunday,snacks,3161,2858
2024-01-28,Sunday,dinner,5229,4946
2024-01-29,Monday,breakfast,8629,8144
2024-01-29,Monday,lunch,8546,8116
2024-01-29,Monday,snacks,6167,5939
2024-01-29,Monday,dinner,9482,8760
2024-01-30,Tuesday,breakfast,7481,6610
2024-01-30,Tuesday,lunch,8983,8590
2024-01-30,Tuesday,snacks,6151,5464
2024-01-30,Tuesday,dinner,9635,8934
2024-01-31,Wednesday,breakfast,7628,7294
2024-01-31,Wednesday,lunch,9539,8932
2024-01-31,Wednesday,snacks,5648,4994
2024-01-31,Wednesday,dinner,9569,8874
2024-02-01,Thursday,breakfast,8495,7547
2024-02-01,Thursday,lunch,8754,8335
2024-02-01,Thursday,snacks,6128,5627
2024-02-01,Thursday,dinner,8854,8321
2024-02-02,Friday,breakfast,8238,7717
2024-02-02,Friday,lunch,9468,8981
2024-02-02,Friday,snacks,6460,5737
2024-02-02,Friday,dinner,10103,9342
2024-02-03,Saturday,breakfast,4688,4214
2024-02-03,Saturday,lunch,5310,4693
2024-02-03,Saturday,snacks,3533,3403
2024-02-03,Saturday,dinner,5468,4868
2024-02-04,Sunday,breakfast,4322,4073
2024-02-04,Sunday,lunch,4708,4327
2024-02-04,Sunday,snacks,3457,3345
2024-02-04,Sunday,dinner,4976,4730
2024-02-05,Monday,breakfast,7574,6996
2024-02-05,Monday,lunch,8859,7887
2024-02-05,Monday,snacks,5898,5522
2024-02-05,Monday,dinner,9909,9251
2024-02-06,Tuesday,breakfast,7402,7140
2024-02-06,Tuesday,lunch,8413,7826
2024-02-06,Tuesday,snacks,6126,5735
2024-02-06,Tuesday,dinner,9850,9288
2024-02-07,Wednesday,breakfast,8108,7617
2024-02-07,Wednesday,lunch,9401,8782
2024-02-07,Wednesday,snacks,5633,5057
2024-02-07,Wednesday,dinner,9633,9152
2024-02-08,Thursday,breakfast,7921,7508
2024-02-08,Thursday,lunch,9084,8741
2024-02-08,Thursday,snacks,5551,4914
2024-02-08,Thursday,dinner,8785,7732
2024-02-09,Friday,breakfast,7739,6942
