date,day,meal_type,menu_items,total_strength,actual_attendance
2023-01-01,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,11230
2023-01-01,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,12302
2023-01-01,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,7078
2023-01-01,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13888
2023-01-02,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,9478
2023-01-02,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,11926
2023-01-02,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7520
2023-01-02,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,9633
2023-01-03,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,8179
2023-01-03,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,8899
2023-01-03,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,8921
2023-01-03,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,11228
2023-01-04,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,9282
2023-01-04,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-01-04,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,6650
2023-01-04,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,13888
2023-01-05,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6214
2023-01-05,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13255
2023-01-05,Thursday,Snack,"Veg Maggi, Frooti",14172,8611
2023-01-05,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,11457
2023-01-06,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,10106
2023-01-06,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,13679
2023-01-06,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,7049
2023-01-06,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,9206
2023-01-07,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,10442
2023-01-07,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,6368
2023-01-07,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,6050
2023-01-07,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,11344
2023-01-08,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,10894
2023-01-08,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,11702
2023-01-08,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,7781
2023-01-08,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13888
2023-01-09,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,10989
2023-01-09,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,10873
2023-01-09,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7412
2023-01-09,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,9820
