date,day,meal_type,total_strength,actual_attendance
2019-04-01,Monday,breakfast,14172,7675
2019-04-01,Monday,lunch,14172,10516
2019-04-01,Monday,snacks,14172,6855
2019-04-01,Monday,dinner,14172,10385
2019-04-02,Tuesday,breakfast,14172,7953
2019-04-02,Tuesday,lunch,14172,10548
2019-04-02,Tuesday,snacks,14172,6249
2019-04-02,Tuesday,dinner,14172,8777
2019-04-03,Wednesday,breakfast,14172,9005
2019-04-03,Wednesday,lunch,14172,9567
2019-04-03,Wednesday,snacks,14172,5591
2019-04-03,Wednesday,dinner,14172,9391
2019-04-04,Thursday,breakfast,14172,7774
2019-04-04,Thursday,lunch,14172,9603
2019-04-04,Thursday,snacks,14172,5246
2019-04-04,Thursday,dinner,14172,10265
2019-04-05,Friday,breakfast,14172,8478
2019-04-05,Friday,lunch,14172,11810
2019-04-05,Friday,snacks,14172,4853
2019-04-05,Friday,dinner,14172,8736
2019-04-06,Saturday,breakfast,14172,4959
2019-04-06,Saturday,lunch,14172,7043
2019-04-06,Saturday,snacks,14172,4457
2019-04-06,Saturday,dinner,14172,7815
2019-04-07,Sunday,breakfast,14172,3728
2019-04-07,Sunday,lunch,14172,6701
2019-04-07,Sunday,snacks,14172,3481
2019-04-07,Sunday,dinner,14172,7213
2019-04-08,Monday,breakfast,14172,7931
2019-04-08,Monday,lunch,14172,11339
2019-04-08,Monday,snacks,14172,6629
2019-04-08,Monday,dinner,14172,9964
2019-04-09,Tuesday,breakfast,14172,7335
2019-04-09,Tuesday,lunch,14172,11560
2019-04-09,Tuesday,snacks,14172,5652
2019-04-09,Tuesday,dinner,14172,10275
2019-04-10,Wednesday,breakfast,14172,9163
2019-04-10,Wednesday,lunch,14172,11322
2019-04-10,Wednesday,snacks,14172,6474
2019-04-10,Wednesday,dinner,14172,10993
2019-04-11,Thursday,breakfast,14172,6905
2019-04-11,Thursday,lunch,14172,11008
2019-04-11,Thursday,snacks,14172,4460
2019-04-11,Thursday,dinner,14172,10449
2019-04-12,Friday,breakfast,14172,7768
2019-04-12,Friday,lunch,14172,11086
2019-04-12,Friday,snacks,14172,6148
2019-04-12,Friday,dinner,14172,10914
2019-04-13,Saturday,breakfast,14172,6078
2019-04-13,Saturday,lunch,14172,7076
2019-04-13,Saturday,snacks,14172,3007
2019-04-13,Saturday,dinner,14172,7784
2019-04-14,Sunday,breakfast,14172,5239
2019-04-14,Sunday,lunch,14172,7596
2019-04-14,Sunday,snacks,14172,3235
2019-04-14,Sunday,dinner,14172,5179
2019-04-15,Monday,breakfast,14172,8175
2019-04-15,Monday,lunch,14172,10510
2019-04-15,Monday,snacks,14172,6371
2019-04-15,Monday,dinner,14172,9887
2019-04-16,Tuesday,breakfast,14172,7577
2019-04-16,Tuesday,lunch,14172,9408
2019-04-16,Tuesday,snacks,14172,4908
2019-04-16,Tuesday,dinner,14172,11303
2019-04-17,Wednesday,breakfast,14172,8404
2019-04-17,Wednesday,lunch,14172,9800
2019-04-17,Wednesday,snacks,14172,6612
2019-04-17,Wednesday,dinner,14172,10403
2019-04-18,Thursday,breakfast,14172,8660
2019-04-18,Thursday,lunch,14172,9307
2019-04-18,Thursday,snacks,14172,4760
2019-04-18,Thursday,dinner,14172,10242
2019-04-19,Friday,breakfast,14172,6658
2019-04-19,Friday,lunch,14172,10335
2019-04-19,Friday,snacks,14172,5173
2019-04-19,Friday,dinner,14172,9267
2019-04-20,Saturday,breakfast,14172,5486
2019-04-20,Saturday,lunch,14172,7673
2019-04-20,Saturday,snacks,14172,4946
2019-04-20,Saturday,dinner,14172,5840
2019-04-21,Sunday,breakfast,14172,6064
2019-04-21,Sunday,lunch,14172,7801
2019-04-21,Sunday,snacks,14172,4660
2019-04-21,Sunday,dinner,14172,6275
2019-04-22,Monday,breakfast,14172,6524
2019-04-22,Monday,lunch,14172,9463
2019-04-22,Monday,snacks,14172,6023
2019-04-22,Monday,dinner,14172,9346
2019-04-23,Tuesday,breakfast,14172,7478
2019-04-23,Tuesday,lunch,14172,11875
2019-04-23,Tuesday,snacks,14172,4501
2019-04-23,Tuesday,dinner,14172,10771
2019-04-24,Wednesday,breakfast,14172,8937
2019-04-24,Wednesday,lunch,14172,11953
2019-04-24,Wednesday,snacks,14172,6823
2019-04-24,Wednesday,dinner,14172,8962
2019-04-25,Thursday,breakfast,14172,6417
2019-04-25,Thursday,lunch,14172,10592
2019-04-25,Thursday,snacks,14172,5794
2019-04-25,Thursday,dinner,14172,11325
2019-04-26,Friday,breakfast,14172,8874
2019-04-26,Friday,lunch,14172,9670
2019-04-26,Friday,snacks,14172,4764
2019-04-26,Friday,dinner,14172,10847
2019-04-27,Saturday,breakfast,14172,5125
2019-04-27,Saturday,lunch,14172,7891
2019-04-27,Saturday,snacks,14172,4512
2019-04-27,Saturday,dinner,14172,6316
2019-04-28,Sunday,breakfast,14172,4577
2019-04-28,Sunday,lunch,14172,7299
2019-04-28,Sunday,snacks,14172,4998
2019-04-28,Sunday,dinner,14172,6528
2019-04-29,Monday,breakfast,14172,7190
2019-04-29,Monday,lunch,14172,10697
2019-04-29,Monday,snacks,14172,4754
2019-04-29,Monday,dinner,14172,10446
2019-04-30,Tuesday,breakfast,14172,8157
2019-04-30,Tuesday,lunch,14172,11819
2019-04-30,Tuesday,snacks,14172,7052
2019-04-30,Tuesday,dinner,14172,8669
2019-05-01,Wednesday,breakfast,14172,9086
2019-05-01,Wednesday,lunch,14172,9923
2019-05-01,Wednesday,snacks,14172,6902
2019-05-01,Wednesday,dinner,14172,10177
2019-05-02,Thursday,breakfast,14172,8224
2019-05-02,Thursday,lunch,14172,11752
2019-05-02,Thursday,snacks,14172,5021
2019-05-02,Thursday,dinner,14172,10835
2019-05-03,Friday,breakfast,14172,7676
2019-05-03,Friday,lunch,14172,10140
2019-05-03,Friday,snacks,14172,6886
2019-05-03,Friday,dinner,14172,9614
2019-05-04,Saturday,breakfast,14172,4603
2019-05-04,Saturday,lunch,14172,6718
2019-05-04,Saturday,snacks,14172,3740
2019-05-04,Saturday,dinner,14172,7536
2019-05-05,Sunday,breakfast,14172,4096
2019-05-05,Sunday,lunch,14172,7025
